id,ko,comp,home,away,h_cur_n,a_cur_n,h_cur_ppg,a_cur_ppg,h_cross_ppg,a_cross_ppg,h_venue_ppg,a_venue_ppg,h_cur_gf,a_cur_gf,h_cur_ga,a_cur_ga,h_cross_xg,a_cross_xg,h_cross_xga,a_cross_xga,h_venue_xg,a_venue_xg,h_venue_xga,a_venue_xga,h_cur_o25,a_cur_o25,h_cross_o25,a_cross_o25,h_venue_o25,a_venue_o25,h_cur_btts,a_cur_btts,h_venue_btts,a_venue_btts,h_cur_shots,a_cur_shots,h_cur_sot,a_cur_sot,h_elo,a_elo,elo_delta,h_elo_match,a_elo_match
DISC_5629723303fd,2026-09-12T14:00:00.000+00:00,Premier League,Chelsea,Hull City,3.0,3.0,2.0,2.3333333333333335,1.0,2.3333333333333335,1.2,3.0,2.6666666666666665,1.0,2.3333333333333335,0.0,1.083149142857143,,1.8255734285714287,,1.4415275,,1.8267232500000001,,1.0,0.0,0.8,0.0,0.8,0.0,1.0,0.0,0.6,0.0,16.0,8.333333333333334,5.666666666666667,3.3333333333333335,,,,,
DISC_675d60afb9a3,2026-09-12T14:00:00.000+00:00,Premier League,Aston Villa,Nottingham Forest,3.0,3.0,0.3333333333333333,0.6666666666666666,1.2,1.4,1.8,2.0,0.0,0.6666666666666666,1.6666666666666667,1.0,1.9286685714285714,1.6446085714285714,1.3452757142857141,1.7175515714285716,2.380551,1.8101325000000001,1.2481635,2.1724657499999998,0.3333333333333333,0.3333333333333333,0.6,0.5,0.6,1.0,0.0,0.3333333333333333,0.6,0.6,8.666666666666666,12.0,0.3333333333333333,2.3333333333333335,,,,,
DISC_b0e0ade410ef,2026-09-12T14:00:00.000+00:00,Premier League,Liverpool,Fulham,3.0,3.0,1.6666666666666667,0.0,1.6,0.8,1.8,0.4,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.5778215714285715,1.2292272857142856,1.7481548571428571,1.726432714285714,1.7707527499999998,1.09794525,1.4193410000000002,2.4846375,0.6666666666666666,0.6666666666666666,0.6,0.3,0.4,0.2,0.6666666666666666,0.6666666666666666,0.8,0.2,16.666666666666668,16.666666666666668,6.0,4.0,,,,,
DISC_e76f56a3bc20,2026-09-12T14:00:00.000+00:00,Premier League,Crystal Palace,Ipswich Town,3.0,3.0,1.0,1.0,0.6,0.5,1.0,0.4,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.6666666666666665,1.4508104285714285,0.8638142857142856,1.9829921428571429,1.9602519999999999,2.041488,1.0608232499999999,1.9761337499999998,2.15499875,0.6666666666666666,0.6666666666666666,0.8,0.7,0.8,0.8,0.6666666666666666,0.6666666666666666,0.8,0.6,10.0,11.0,3.3333333333333335,4.333333333333333,,,,,
DISC_f8c363c40d02,2026-09-12T14:00:00.000+00:00,Premier League,AFC Bournemouth,Brentford,3.0,3.0,0.6666666666666666,1.6666666666666667,1.7,1.2,1.4,0.6,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.8601061428571428,1.6932297142857144,1.6057855714285716,2.0220860000000003,1.9228275,0.9342272500000001,1.22731225,2.4085565000000004,0.6666666666666666,0.3333333333333333,0.6,0.6,0.6,0.4,1.0,0.6666666666666666,0.8,0.6,13.0,20.0,4.666666666666667,5.0,,,,,
DISC_537dc7b84300,2026-09-12T16:30:00.000+00:00,Premier League,Tottenham Hotspur,Everton,3.0,3.0,0.3333333333333333,1.6666666666666667,1.2,0.8,1.0,0.6,0.0,1.6666666666666667,1.6666666666666667,1.0,1.4016257142857143,1.3630922857142858,1.0737351428571429,1.8395814285714285,1.5189374999999998,1.263964,1.204904,2.1982125,0.3333333333333333,0.3333333333333333,0.4,0.7,0.4,0.6,0.0,0.6666666666666666,0.4,0.8,12.333333333333334,15.666666666666666,3.3333333333333335,6.0,,,,,
DISC_42a5b3b9eb70,2026-09-12T19:00:00.000+00:00,Premier League,Sunderland,Arsenal,3.0,3.0,1.3333333333333333,3.0,1.5,2.4,2.0,2.4,1.0,2.0,1.0,0.3333333333333333,1.389531,2.392287,1.6000394285714283,1.156487857142857,1.48971325,2.03510575,1.0037314999999998,1.4648845,0.3333333333333333,0.6666666666666666,0.5,0.6,0.4,0.4,0.6666666666666666,0.3333333333333333,0.2,0.4,12.333333333333334,14.333333333333334,4.333333333333333,5.666666666666667,,,,,
DISC_28e801039917,2026-09-12T13:30:00+0000,Bundesliga,FC Augsburg,Bayer 04 Leverkusen,2.0,2.0,3.0,1.5,1.8,1.7,1.6,1.4,3.5,3.0,0.5,1.5,2.102483875,2.751267625,1.967435,2.0815425,2.3010300000000004,1.2952127500000001,1.802907,2.4199925,1.0,1.0,0.8,0.8,0.8,0.8,0.5,0.5,0.8,0.8,20.5,21.0,10.0,7.0,,,,,
DISC_4f141e319cf4,2026-09-12T13:30:00+0000,Bundesliga,Sport-Club Freiburg,Borussia Mönchengladbach,2.0,2.0,3.0,0.0,1.9,1.0,2.0,0.4,2.5,1.5,0.5,3.5,1.50488575,1.250415125,1.7287056250000001,1.7276547500000001,1.9188545000000001,1.06804825,1.7149225,2.06874,0.5,1.0,0.7,0.6,0.8,0.6,0.5,0.5,1.0,0.4,17.5,20.0,5.0,5.0,,,,,
DISC_5a7763753d74,2026-09-12T13:30:00+0000,Bundesliga,Borussia Dortmund,SC Paderborn 07,2.0,2.0,3.0,0.5,2.1,0.5,2.4,1.0,2.5,0.0,1.0,0.5,2.3760850000000002,,1.1736828750000001,,3.2897599999999994,,0.8496425000000001,,0.5,0.0,0.5,0.0,0.6,0.0,0.5,0.0,0.4,0.0,15.5,12.0,5.0,1.5,,,,,
DISC_62b3d2a51c5c,2026-09-12T13:30:00+0000,Bundesliga,TSG Hoffenheim,VfB Stuttgart,2.0,2.0,0.0,1.5,1.1,1.5,1.4,1.0,2.0,2.5,3.0,3.0,1.72823175,2.318306,1.829161,1.888282625,1.9178625,2.175745,1.6815250000000002,3.08333,1.0,1.0,0.9,0.8,0.8,1.0,1.0,1.0,0.8,1.0,16.5,16.5,5.0,6.0,,,,,
DISC_8bd085ac0032,2026-09-12T13:30:00+0000,Bundesliga,1. FSV Mainz 05,Eintracht Frankfurt,2.0,2.0,2.0,0.5,1.7,0.7,0.8,1.0,2.5,2.0,0.0,3.5,2.321469375,1.557400375,1.7891602500000001,2.0364373749999998,1.79145375,1.2252952499999998,1.8899629999999996,2.1836975,0.5,1.0,0.6,0.9,0.6,0.8,0.0,1.0,0.6,1.0,19.0,17.0,6.0,5.5,,,,,
DISC_b709e4b0c56e,2026-09-12T16:30:00+0000,Bundesliga,1. FC Köln,SV Werder Bremen,2.0,2.0,1.5,1.5,1.0,1.0,1.4,0.8,2.0,2.0,3.0,2.5,2.144714125,0.9428622500000001,1.750813875,2.173763625,2.5539875,0.9241937500000003,1.4635122500000002,2.0630074999999994,1.0,1.0,0.9,0.6,1.0,0.4,1.0,1.0,1.0,0.6,18.0,10.5,5.5,5.0,,,,,
DISC_81c58eb28d94,2026-09-12T12:00:00+00:00,La Liga,R. Racing Club,Deportivo Alavés,4.0,4.0,1.0,2.5,1.0,2.0,2.0,1.2,1.75,2.5,2.0,0.75,,1.4063636666666666,,0.9734068333333332,,1.6437149999999998,,1.3796887500000001,0.75,0.5,0.75,0.5,1.0,0.4,0.75,0.5,1.0,0.8,11.25,13.5,4.0,5.0,,,,,
DISC_7be49a1951b8,2026-09-12T14:15:00+00:00,La Liga,CA Osasuna,RCD Espanyol de Barcelona,4.0,4.0,1.75,1.0,1.0,1.2,0.8,0.6,1.25,1.5,1.5,1.25,1.4921381666666667,1.0471633333333334,1.4476408333333335,1.3726211666666668,1.8367133333333336,1.04155125,1.4457906666666667,2.1516625,0.5,0.75,0.7,0.5,0.6,0.8,0.5,0.75,0.6,0.8,10.5,11.75,4.75,3.75,,,,,
DISC_024599a2732e,2026-09-12T16:30:00+00:00,La Liga,Athletic Club,Elche CF,4.0,4.0,1.5,0.25,1.0,0.9,1.4,0.4,1.5,1.25,1.25,3.0,1.341027666666667,0.9813293333333334,1.2832081666666666,1.2351553166666667,1.443003,0.828607,1.0669956666666667,1.3626413333333334,0.5,0.75,0.5,0.6,0.4,0.6,0.25,0.75,0.4,1.0,12.75,14.0,4.75,6.25,,,,,
DISC_f6d10effce4b,2026-09-12T19:00:00+00:00,La Liga,Real Madrid,Rayo Vallecano,4.0,4.0,2.25,1.0,2.2,1.6,3.0,1.4,2.5,1.75,0.75,2.5,1.3881318333333332,1.8393818333333334,1.1923651666666668,1.3659951666666663,1.7329499999999998,1.3771636666666665,1.4235866666666668,1.3384019999999996,0.75,0.75,0.4,0.5,0.8,0.6,0.5,1.0,0.6,0.8,20.0,10.25,8.75,5.25,,,,,
DISC_e88a612daa5a,2026-09-12T13:00:00.000+00:00,Serie A,Genoa,Frosinone,3.0,3.0,0.0,2.0,0.8,1.5,0.6,1.8,0.3333333333333333,2.0,2.3333333333333335,1.0,1.094838714285714,1.5110055714285713,1.3853512857142856,1.2576815714285714,1.2428913333333333,1.51699625,1.380226666666667,1.2051669999999999,0.3333333333333333,0.6666666666666666,0.4,0.5,0.6,0.4,0.3333333333333333,0.3333333333333333,0.6,0.2,10.0,12.0,1.6666666666666667,5.333333333333333,,,,,
DISC_aed8eb68b91d,2026-09-12T16:00+00:00,Serie A,Lazio,AC Milan,3.0,3.0,3.0,2.3333333333333335,1.9,1.4,1.6,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3586037142857141,1.2801038571428571,1.2092411428571428,1.6675732857142858,0.8917407499999999,0.8911749999999999,1.50443325,1.5378420000000002,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6,0.4,0.3333333333333333,0.6666666666666666,0.6,0.6,14.666666666666666,12.666666666666666,3.6666666666666665,3.3333333333333335,,,,,
DISC_c4c532ce929d,2026-09-12T18:45:00.000+00:00,Serie A,Atalanta,Cagliari,3.0,3.0,2.0,2.0,1.2,1.9,1.4,1.4,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.4332984285714285,1.6504332857142856,1.4056551428571427,1.4992722857142857,1.473600333333333,1.6728782500000006,0.897062,1.3281542499999999,0.6666666666666666,0.0,0.4,0.4,0.2,0.6,0.6666666666666666,0.0,0.2,0.4,8.666666666666666,14.666666666666666,3.6666666666666665,4.666666666666667,,,,,
DISC_9f8503505382,2026-09-12T15:15+00:00,Ligue 1,Strasbourg,AS Monaco,3.0,3.0,2.0,3.0,1.9,1.7,1.8,2.0,2.6666666666666665,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.6676649999999997,1.439382,1.8203227142857141,1.8032911428571425,1.5434537499999996,1.4607500000000002,1.682816,1.8053966666666665,1.0,0.3333333333333333,0.9,0.7,1.0,0.8,0.6666666666666666,0.3333333333333333,0.8,0.8,13.333333333333334,10.0,7.0,4.666666666666667,,,,,
DISC_9b9183eaec32,2026-09-12T18:45+00:00,Ligue 1,AJ Auxerre,Nice,3.0,3.0,0.0,0.6666666666666666,1.2,0.7,2.0,0.4,1.3333333333333333,0.3333333333333333,3.6666666666666665,1.3333333333333333,1.2665098571428572,1.2447257142857142,1.675186142857143,1.6189115714285716,1.5676005,1.0026774999999999,1.64181725,1.70424175,1.0,0.3333333333333333,0.7,0.3,0.8,0.6,1.0,0.3333333333333333,0.6,0.6,12.666666666666666,12.333333333333334,4.666666666666667,2.3333333333333335,,,,,
DISC_27d0d918cc2c,2026-09-12T18:45:00.000+00:00,Ligue 1,Le Havre,Angers,3.0,3.0,0.3333333333333333,1.0,0.9,0.7,0.4,0.8,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.4125684285714288,1.073192142857143,1.6606435714285712,1.8467627142857144,1.5313976666666669,1.3946174999999998,1.7766699999999995,2.5940374999999998,0.3333333333333333,0.6666666666666666,0.2,0.5,0.4,0.8,0.6666666666666666,0.6666666666666666,0.6,1.0,15.0,18.0,4.0,3.6666666666666665,,,,,
DISC_786c950da39c,2026-09-12T18:45:00.000+00:00,Ligue 1,Lorient,Toulouse,3.0,3.0,1.3333333333333333,0.3333333333333333,1.2,0.9,0.8,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.5588271428571427,1.166570285714286,1.7670087142857143,1.6014771714285714,1.573,0.6691855000000001,1.7014649999999998,1.5517200500000001,0.3333333333333333,0.3333333333333333,0.4,0.7,0.4,0.8,0.3333333333333333,0.3333333333333333,0.6,0.8,11.0,15.666666666666666,3.6666666666666665,4.666666666666667,,,,,
DISC_a4e7e65e71ea,2026-09-12T18:45:00.000+00:00,Ligue 1,Paris FC,Lyon,3.0,3.0,2.3333333333333335,2.3333333333333335,2.0,2.0,2.4,1.6,2.0,2.0,0.6666666666666666,0.6666666666666666,2.0331885714285716,1.5852727142857144,1.3290235714285716,1.5668634285714287,2.3168,1.1084722500000002,1.28042875,1.51731175,0.6666666666666666,0.3333333333333333,0.7,0.6,0.8,0.4,0.3333333333333333,0.6666666666666666,0.4,0.4,14.333333333333334,16.0,4.0,5.0,,,,,
