id,ko,comp,home,away,hn,an,hcp,acp,hxp,axp,hvp,avp,hgf,agf,hga,aga,hxg,axg,hxga,axga,hvxg,avxg,hvxga,avxga,hshots,ashots,hsot,asot,ho25,ao25,hvo25,avo25,hbtts,abtts,hvbtts,avbtts,hstrength,astrength,delta,lambda_h,lambda_a,total
DISC_ed9ad6237931,2026-09-13T13:00:00.000+00:00,Premier League,Coventry City,Brighton & Hove Albion,3.0,3.0,0.0,1.3333333333333333,0.0,1.4,0.0,0.8,0.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,,1.6795897142857146,,1.3416895714285713,,1.5781549999999998,,1.56240875,9.0,18.666666666666668,2.3333333333333335,5.666666666666667,0.3333333333333333,0.7,0.0,0.6,0.0,0.4,0.0,0.6,0.1,0.882,-0.782,0.747,1.776,2.522
DISC_d5a189b217a6,2026-09-13T15:30:00.000+00:00,Premier League,Manchester United,Manchester City,3.0,3.0,1.3333333333333333,3.0,2.0,2.3,2.4,2.2,2.3333333333333335,2.3333333333333335,2.0,0.6666666666666666,1.908030571428571,2.3460457142857143,1.4783454285714284,1.4574937142857143,2.5138775000000004,2.1258749999999997,1.7818324999999995,1.398824,22.666666666666668,15.333333333333334,6.333333333333333,6.333333333333333,0.7,0.7,1.0,0.6,0.6,0.6,1.0,0.6,1.892,1.913,-0.021,1.827,1.939,3.766
DISC_ba772c73b7d3,2026-09-13T13:30:00+0000,Bundesliga,RB Leipzig,Hamburger SV,2.0,2.0,1.5,0.0,2.1,0.8,3.0,0.8,2.0,0.0,1.5,3.5,2.37317125,1.23199525,1.7206811249999998,2.654385875,3.0849900000000003,0.8973755,0.8755757500000002,2.3862755,22.0,8.0,8.0,2.0,0.9,0.7,0.8,0.6,0.7,0.7,0.4,0.6,2.315,0.413,1.902,2.635,1.149,3.784
DISC_be4f585ca9d1,2026-09-13T15:30:00+0000,Bundesliga,SV Elversberg,FC Bayern München,2.0,2.0,3.0,2.0,3.0,2.6,3.0,2.6,3.5,2.5,2.5,0.5,,3.3314850000000003,,1.717721,,2.7282425,,2.22366075,12.5,18.0,8.0,7.0,1.0,0.8,1.0,0.6,1.0,0.6,1.0,0.4,2.428,2.057,0.371,2.761,2.829,5.59
DISC_4bdbfceda903,2026-09-13T12:00:00+00:00,La Liga,Celta,Málaga CF,5.0,4.0,0.6,0.5,1.3,0.5,1.2,0.0,0.4,0.25,1.0,1.75,1.1166198,,1.9243150000000004,,1.6609466666666666,,1.310945,,8.4,10.5,2.4,1.75,0.3,0.25,0.6,0.5,0.5,0.25,0.6,0.0,1.115,0.216,0.899,1.455,0.716,2.171
DISC_2982bd7fa24f,2026-09-13T14:15:00+00:00,La Liga,Levante UD,FC Barcelona,4.0,4.0,1.25,3.0,1.5,2.4,3.0,1.8,1.25,4.25,1.25,0.5,2.0084585,1.4314226666666663,1.343129,1.0384186666666668,2.62585,1.0724486666666666,0.41863749999999994,1.3584233333333333,11.25,21.0,3.5,9.0,0.6,0.6,0.4,0.8,0.5,0.4,0.4,0.4,2.135,1.73,0.405,1.575,1.758,3.333
DISC_7b2f157737a3,2026-09-13T16:30:00+00:00,La Liga,Getafe CF,RC Deportivo,4.0,4.0,1.0,2.0,1.1,2.0,2.0,2.0,0.5,2.0,1.25,1.25,0.9242613166666668,,0.9133400000000002,,1.1458023333333334,,0.7220893333333335,,9.75,8.25,1.5,3.5,0.2,0.5,0.2,0.5,0.2,1.0,0.4,1.0,1.379,1.624,-0.245,1.105,1.551,2.656
DISC_40af2de08d89,2026-09-13T19:00:00+00:00,La Liga,Real Sociedad,Atlético de Madrid,5.0,4.0,1.4,1.75,1.0,1.9,1.0,1.8,1.2,1.75,1.6,1.5,1.1841346,2.197486666666667,1.9862859999999998,1.5429770000000003,1.956603333333333,1.7375300000000002,1.3325176666666667,1.9977903333333333,13.0,15.25,5.4,5.0,0.5,0.6,0.6,0.8,0.7,0.5,0.6,0.6,1.028,1.463,-0.434,1.613,1.751,3.364
DISC_cfd626be78a3,2026-09-13T13:00:00.000+00:00,Serie A,Lecce,Monza,3.0,3.0,1.0,0.3333333333333333,1.4,0.4,0.8,0.8,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.2896684285714286,0.8706498571428571,1.707129285714286,1.8422171428571426,1.24867825,0.9233533333333334,1.70495275,1.5323766666666667,9.666666666666666,12.666666666666666,3.6666666666666665,4.333333333333333,0.3,0.5,0.4,0.4,0.3,0.5,0.2,0.6,0.907,0.393,0.514,1.573,1.193,2.765
DISC_d88fcbd35b1b,2026-09-13T16:00:00.000+00:00,Serie A,Napoli,Bologna,3.0,3.0,1.0,0.3333333333333333,1.4,1.2,1.2,1.8,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.4465400000000002,1.1977407142857144,1.1360337142857142,1.1323349999999999,1.6358779999999997,1.1577837500000001,1.31975875,1.2679152500000002,14.0,17.0,4.333333333333333,4.333333333333333,0.5,0.3,0.6,0.4,0.4,0.3,0.4,0.4,1.152,1.121,0.031,1.532,1.158,2.69
DISC_dc57b43aa0ce,2026-09-13T18:45:00.000+00:00,Serie A,Sassuolo,Juventus,3.0,3.0,1.3333333333333333,2.3333333333333335,1.1,1.9,2.4,2.2,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6950572857142856,1.7647724285714284,1.4765561428571428,0.8037558571428571,1.7791175,1.5319467499999997,1.01854825,1.01574175,18.666666666666668,18.333333333333332,7.0,5.333333333333333,0.7,0.1,0.8,0.2,0.7,0.3,0.8,0.2,1.571,1.708,-0.137,1.321,1.405,2.726
DISC_ac52e97e7c57,2026-09-13T13:00:00.000+00:00,Ligue 1,Lille,Troyes,3.0,3.0,2.3333333333333335,1.3333333333333333,2.1,1.3333333333333333,1.2,3.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6605767142857142,,0.6331910000000001,,1.843973,,0.38352575,,10.0,15.666666666666666,6.0,3.3333333333333335,0.3,0.6666666666666666,0.4,1.0,0.2,0.6666666666666666,0.4,1.0,1.613,1.692,-0.079,2.061,0.98,3.04
